Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 36.30      0.49     0.49        3     0.16     0.36  ConjugateGradient::solve(Vertex*, int)
  8.15      0.60     0.11  6643573     0.00     0.00  std::_List_iterator<Adjacency*>::operator++(int)
  7.41      0.70     0.10 13265034     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator*<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  6.67      0.79     0.09 18946999     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>::real()
  6.30      0.88     0.09  7707626     0.00     0.00  std::_List_iterator<Triangle*>::operator++()
  5.56      0.95     0.08 19749853     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>::~real()
  2.96      0.99     0.04 10523411     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&(!mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::has_add), mpfr::real<512l, (mpfr_rnd_t)0>&>::type mpfr::real<512l, (mpfr_rnd_t)0>::operator+=<mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  2.96      1.03     0.04  9413788     0.00     0.00  std::_List_iterator<Adjacency*>::operator!=(std::_List_iterator<Adjacency*> const&) const
  2.22      1.06     0.03 18013128     0.00     0.00  std::_List_iterator<Adjacency*>::operator*() const
  2.22      1.09     0.03 10228397     0.00     0.00  Adjacency::getVertex(int)
  2.22      1.12     0.03  7838529     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::end()
  1.85      1.15     0.03  1712618     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator-<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  1.48      1.17     0.02  9054384     0.00     0.00  std::_List_iterator<Adjacency*>::_List_iterator(std::__detail::_List_node_base*)
  1.48      1.19     0.02  1215855     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::begin()
  0.74      1.20     0.01  7838815     0.00     0.00  std::_List_iterator<Triangle*>::operator!=(std::_List_iterator<Triangle*> const&) const
  0.74      1.21     0.01  1613550     0.00     0.00  std::_List_iterator<Adjacency*>::operator++()
  0.74      1.22     0.01  1126794     0.00     0.00  std::_List_iterator<Adjacency*>::_List_iterator()
